Episode,Counter,Time,Text
1,1,00:00:07,"that day, everyone in the world turned to stone."
1,2,00:00:15,"listen up, senku!"
1,3,00:00:16,i've made up my mind.
1,4,00:00:18,i'm going to confess the feelings i've had for yuzuriha for the past five years!
1,5,00:00:23,yeah?
1,6,00:00:24,"well, that sure does sound interesting."
1,7,00:00:28,i'll be cheering for you so hard that my vocal cords snap.
1,8,00:00:30,from here in this science lab.
1,9,00:00:32,you will?
1,10,00:00:34,"thanks, senku!"
1,11,00:00:35,"shut up. i'm not cheering one millimeter for you, you big oaf."
1,12,00:00:40,what?!
1,13,00:00:40,make up your mind!
1,14,00:00:41,and you haven't said anything for five years?
1,15,00:00:44,"how illogical can you be, idiot?"
1,16,00:00:46,i've got something for you that's logical as hell.
1,17,00:00:50,a drug that'll stimulate your pheromone output to the max.
1,18,00:00:53,"a love potion, if you will."
1,19,00:00:55,"take this, and you're set, ten billion percent."
1,20,00:01:02,"thanks, senku, but sorry."
1,21,00:01:06,i can't rely on cheap tricks.
1,22,00:01:12,"seriously, senku?"
1,23,00:01:14,a love potion?
1,24,00:01:16,like those even exist.
1,25,00:01:19,it's just gasoline.
1,26,00:01:20,i refined it from plastic bottle caps.
1,27,00:01:23,"think about the molecular structure of polyethylene, moron."
1,28,00:01:27,it's just a long gasoline molecule with a few hydrocarbons chopped off.
1,29,00:01:30,you can tell by looking at it.
1,30,00:01:32,"uh, no, i can't."
1,31,00:01:33,no way.
1,32,00:01:34,so... wouldn't taiju-kun have died if he drank it?
1,33,00:01:40,i was ten billion percent sure he wouldn't drink it.
1,34,00:01:43,not that strait-laced idiot.
1,35,00:01:51,yuzuriha!
1,36,00:01:52,sorry to keep you waiting.
1,37,00:01:55,"so, what's up, taiju-kun?"
1,38,00:01:57,what did you want to tell me?
1,39,00:02:01,a hundred yen says he gets rejected.
1,40,00:02:03,three hundred yen says he gets rejected hard.
1,41,00:02:05,five hundred yen says he gets rejected at full power.
1,42,00:02:08,ten thousand yen says he actually doesn't.
1,43,00:02:11,seriously?!
1,44,00:02:13,"i was afraid that by telling her how i feel, she wouldn't even be my friend anymore."
1,45,00:02:19,i've been a coward all this time.
1,46,00:02:22,"hear me out, yuzuriha."
1,47,00:02:25,but today's the day.
1,48,00:02:27,"for the past five years, i've..."
1,49,00:02:35,what's that light?
1,50,00:02:52,yuzuriha!
1,51,00:02:53,hang on to that camphor tree!
1,52,00:02:55,"i don't know, but..."
1,53,00:02:59,what's going on? it's so dark.
1,54,00:03:00,i can't move.
1,55,00:03:01,i can't speak... someone help!
1,56,00:03:02,what's happening?!
1,57,00:03:02,help... help!
1,58,00:03:27,help me...
1,59,00:03:29,"mom, dad..."
1,60,00:03:33,am i... going... to die?
1,61,00:03:55,i'm not dead!
1,62,00:03:57,"i have to stay focused, or it'll suck me in."
1,63,00:04:00,"wake up, damn it!"
1,64,00:04:01,yuzuriha will be all right.
1,65,00:04:03,i'm sure she's safe.
1,66,00:04:06,i can't go down a coward.
1,67,00:04:08,i'm going to confess to yuzuriha!
1,68,00:04:18,i'm going to survive by willpower alone!
1,69,00:04:21,whether it's for weeks or months...
1,70,00:04:25,"i'll tell her, no matter what!"
1,71,00:04:32,how many decades has it been?
1,72,00:04:34,centuries?
1,73,00:04:35,millennia?
1,74,00:04:37,"well, i'm not giving up."
1,75,00:04:40,i'm gonna tell yuzuriha.
1,76,00:04:43,"i'll survive, even if it kills me!"
1,77,00:05:38,i broke out!
1,78,00:05:39,i broke free! finally!
1,79,00:05:45,stone fragments?
1,80,00:05:57,i see.
1,81,00:05:58,so it did happen to everyone.
1,82,00:06:04,just how much time has gone by?
1,83,00:06:09,i'm sorry.
1,84,00:06:11,this is all i can do for you right now.
1,85,00:06:17,"as long as the terrain hasn't changed too much,"
1,86,00:06:19,i should be able to follow the river back.
1,87,00:06:22,back to that camphor tree...
1,88,00:06:28,"hey, something fell down."
1,89,00:06:30,a stone carving of a bird?
1,90,00:06:32,whoever made this is amazing. look at the detail on the wings.
1,91,00:06:36,it looks so real.
1,92,00:06:37,maybe it is real.
1,93,00:06:40,my friend said he saw one like that somewhere else.
1,94,00:06:42,he posted a photo of it.
1,95,00:06:44,poor thing...
1,96,00:06:46,"it might be, like, a bird disease that makes its skin harden."
1,97,00:06:56,{\an8}weekdays
1,98,00:06:56,"{\an8}weekends, holidays"
1,99,00:06:56,{\an8}hours of
1,100,00:06:56,{\an8}operation
1,101,00:06:58,{\an8}animal advocacy week
1,102,00:07:00,no vet's office is going to be open before school hours even start.
1,103,00:07:04,"you never think things through, do you?"
1,104,00:07:06,yuzuriha!
1,105,00:07:07,"besides, there's no way that carving could be a real bird."
1,106,00:07:11,and you brought it to a vet?
1,107,00:07:13,you're so silly.
1,108,00:07:14,i'm embarrassed for you.
1,109,00:07:19,of all the people to just happen to run into me when i'm in the middle of being a dolt...
1,110,00:07:24,wait... run into me?
1,111,00:07:27,"yup, and here's another embarrassing kid who didn't think things through."
1,112,00:07:33,imagine that!
1,113,00:07:36,{\an8}shuei animal hospital
1,114,00:07:37,"come on, stop laughing."
1,115,00:07:39,you did the same thing.
1,116,00:07:41,we're gonna be late for school now.
1,117,00:07:43,"yeah, you're right!"
1,118,00:07:53,yuzuriha.
1,119,00:08:00,i'd never mistake you.
1,120,00:08:02,even after thousands of years.
1,121,00:08:05,you've been alive all this time.
1,122,00:08:24,good job staying alive!
1,123,00:08:26,"well done, camphor tree!"
1,124,00:08:28,"this whole time, you kept yuzuriha"
1,125,00:08:30,from washing away and breaking apart!
1,126,00:08:34,i'm sorry i couldn't protect you.
1,127,00:08:38,"actually, you were the one who was protecting me, yuzuriha."
1,128,00:08:43,"it's because of you that i was able to stay alive all this time,"
1,129,00:08:48,"alone in that hopeless darkness,"
1,130,00:08:51,for hundreds of years... thousands of years...
1,131,00:08:56,"all right, i can finally say it."
1,132,00:08:59,let me finish saying what i was about to say that day.
1,133,00:09:03,the rest of what i was saying on that day so long ago...
1,134,00:09:23,i've loved you...
1,135,00:09:26,for hundreds of years...
1,136,00:09:28,thousands of years...
1,137,00:09:52,"i'm going to save you, yuzuriha."
1,138,00:09:54,"i have no idea how yet,"
1,139,00:09:57,but i will—
1,140,00:10:01,"{\an8}follow the river downstream, big oaf"
1,141,00:10:03,"""follow the river downstream, big oaf."""
1,142,00:10:16,"so you're finally awake, you big oaf."
1,143,00:10:23,"you're alive, senku?!"
1,144,00:10:26,don't hug me while you're buck naked!
1,145,00:10:28,i'll kill you!
1,146,00:10:32,"today is october 5th, 5738."
1,147,00:10:36,you slept in for a hell of a long time.
1,148,00:10:39,i've been up and working for over six months already.
1,149,00:10:43,so it's been...
1,150,00:10:46,"a good 3,700 years."
1,151,00:10:49,how can you tell exactly what day it is?
1,152,00:10:54,i just counted.
1,153,00:10:56,how else would i know?
1,154,00:11:00,"four, five, six, seven, eight..."
1,155,00:11:07,"damn, i almost lost consciousness again."
1,156,00:11:10,"i peak every 800,000 seconds or so."
1,157,00:11:15,i guess it's like when you have diarrhea.
1,158,00:11:19,think and count at the same time.
1,159,00:11:22,use your brain in parallel.
1,160,00:11:24,"116,427,065,530 seconds."
1,161,00:11:29,"one, two, three, four, five, six, seven..."
1,162,00:11:37,in that darkness?
1,163,00:11:40,the entire time?
1,164,00:11:42,"even if i could have awakened by sheer willpower,"
1,165,00:11:45,"if i'd woken up naked in the winter,"
1,166,00:11:47,trying to find food would have been an instant game over.
1,167,00:11:50,starting in the spring is a must for survival.
1,168,00:11:54,an accurate account of the time was information that i absolutely needed.
1,169,00:12:00,"all right, we're here."
1,170,00:12:02,time to stop blabbering and get to work.
1,171,00:12:05,"senku, did you..."
1,172,00:12:08,did you build this from scratch?
1,173,00:12:16,i don't have enough manpower.
1,174,00:12:18,just producing the bare minimum to keep myself alive takes all day.
1,175,00:12:22,"in order to rebuild civilization, i need a big, muscle-bound meathead."
1,176,00:12:27,"i've been waiting for you this whole time, taiju."
1,177,00:12:30,i was ten billion percent certain that you were alive.
1,178,00:12:33,there's no way a guy who was sointent on confessing to yuzuriha
1,179,00:12:38,would give in after just a few thousand years.
1,180,00:12:42,you aren't that weak.
1,181,00:12:44,yeah.
1,182,00:12:46,of course i'm not.
1,183,00:12:52,"i'm counting on you to do all the brainy stuff, senku."
1,184,00:12:57,you can count on me to do the heavy lifting!
1,185,00:13:02,humanity spent two million years getting from the stone age to the modern age.
1,186,00:13:07,we're going to sprint all the way back to the top.
1,187,00:13:10,i'm going to take the world back.
1,188,00:13:13,and i'll figure out the science behind the petrification and our revival.
1,189,00:13:17,i'm going to save yuzuriha.
1,190,00:13:21,the two of us high school brats
1,191,00:13:23,are going to build a civilization out of nothing.
1,192,00:13:26,we're going to become the adam and eve of this stone world.
1,193,00:13:31,this is exhilarating.
1,194,00:13:43,"at least it's a huge haul, i guess."
1,195,00:13:46,what kind of cheat gave you that stamina?
1,196,00:13:52,amanita virosa: poisonous.
1,197,00:13:53,buna shimeji: edible.
1,198,00:13:55,amanita muscaria: poisonous.
1,199,00:13:56,you can't tell this one's bad? it looks like it's right out of mario.
1,200,00:13:59,next.
