Date,Day_Elapsed,Minutes,Total_Minutes,Total_Hours,Total_Words,Words_Today,Words_Min
2019-12-23,0,162,162,2.70,766,766,4.73
2019-12-25,2,92,254,4.23,931,165,1.79
2019-12-26,3,21,275,4.58,1172,241,11.48
2019-12-29,6,126,401,6.68,1434,262,2.08
2019-12-30,7,89,490,8.17,1700,266,2.99
2020-01-01,9,54,544,9.07,2072,372,6.89
2020-01-02,10,103,647,10.78,2529,457,4.44
2020-01-03,11,29,676,11.27,2725,196,6.76
2020-01-05,13,56,732,12.20,3231,506,9.04
2020-01-06,14,20,752,12.53,3471,240,12.00
2020-01-10,18,150,902,15.03,3860,389,2.59
2020-01-11,19,48,950,15.83,4071,211,4.40
2020-01-12,20,192,1142,19.03,5132,1061,5.53
